iter	Passed	Remaining
401	14790	3605
402	14828	3569
403	14867	3532
404	14906	3496
405	14945	3460
406	14980	3422
407	15016	3386
408	15055	3349
409	15092	3312
410	15127	3275
411	15163	3238
412	15200	3202
413	15234	3164
414	15267	3127
415	15302	3089
416	15341	3053
417	15376	3016
418	15410	2979
419	15447	2942
420	15483	2905
421	15516	2867
422	15552	2830
423	15587	2793
424	15622	2756
425	15655	2719
426	15690	2682
427	15724	2645
428	15761	2608
429	15796	2571
430	15831	2534
431	15867	2497
432	15903	2460
433	15937	2423
434	15974	2386
435	16010	2350
436	16045	2313
437	16084	2276
438	16118	2239
439	16152	2202
440	16188	2165
441	16227	2129
442	16261	2092
443	16297	2055
444	16329	2018
445	16364	1981
446	16400	1944
447	16435	1907
448	16469	1870
449	16506	1834
450	16539	1796
451	16574	1760
452	16615	1723
453	16653	1687
454	16687	1650
455	16725	1613
456	16762	1577
457	16799	1540
458	16833	1503
459	16868	1466
460	16906	1430
461	16939	1393
462	16973	1356
463	17007	1319
464	17042	1282
465	17076	1245
466	17114	1209
467	17150	1172
468	17185	1135
469	17224	1099
470	17258	1062
471	17295	1026
472	17331	989
473	17366	952
474	17403	915
475	17439	879
476	17474	842
477	17510	805
478	17545	769
479	17581	732
480	17620	696
481	17654	659
482	17688	622
483	17724	585
484	17759	549
485	17793	512
486	17829	475
487	17869	439
488	17905	402
489	17939	366
490	17975	329
491	18009	292
492	18044	256
493	18080	219
494	18115	182
495	18151	146
496	18187	109
497	18223	73
498	18257	36
499	18292	0
